Ticker,Date,Price,Flow
USD/JPY_B,1/1/2016 17:00,120.191,1.944591
USD/JPY_B,1/3/2016 18:00,120.285,1.9
USD/JPY_B,1/3/2016 19:00,120.317,1.870539
USD/JPY_B,1/3/2016 20:00,120.371,1.88109
USD/JPY_B,1/3/2016 21:00,120.028,1.899257
USD/JPY_B,1/3/2016 22:00,119.818,1.93482
USD/JPY_B,1/3/2016 23:00,119.681,1.944915
USD/JPY_B,1/4/2016 0:00,119.556,1.9025
USD/JPY_B,1/4/2016 1:00,119.385,1.901763
USD/JPY_B,1/4/2016 2:00,119.426,1.903766
USD/JPY_B,1/4/2016 3:00,118.959,1.907251
USD/JPY_B,1/4/2016 4:00,119.009,1.996485
USD/JPY_B,1/4/2016 5:00,118.874,1.981002
USD/JPY_B,1/4/2016 6:00,118.982,1.986242
USD/JPY_B,1/4/2016 7:00,118.793,2.046875
USD/JPY_B,1/4/2016 8:00,119.072,2.118062
USD/JPY_B,1/4/2016 9:00,119.259,2.08864
USD/JPY_B,1/4/2016 10:00,119.06,2.017544
USD/JPY_B,1/4/2016 11:00,119.253,2.00674
USD/JPY_B,1/4/2016 12:00,119.317,2.018581
USD/JPY_B,1/4/2016 13:00,119.407,1.9933
USD/JPY_B,1/4/2016 14:00,119.352,2.027374
USD/JPY_B,1/4/2016 15:00,119.304,2.043814
USD/JPY_B,1/4/2016 16:00,119.426,2.043702
USD/JPY_B,1/4/2016 17:00,119.436,1.978188
USD/JPY_B,1/4/2016 18:00,119.31,1.978243
USD/JPY_B,1/4/2016 19:00,119.475,1.97197
USD/JPY_B,1/4/2016 20:00,119.206,1.977105
USD/JPY_B,1/4/2016 21:00,119.571,1.888624
USD/JPY_B,1/4/2016 22:00,119.621,2.014167
USD/JPY_B,1/4/2016 23:00,119.527,2.021631
USD/JPY_B,1/5/2016 0:00,119.543,2.035088
USD/JPY_B,1/5/2016 1:00,119.42,2.001646
USD/JPY_B,1/5/2016 2:00,119.461,1.957015
USD/JPY_B,1/5/2016 3:00,119.423,1.985306
USD/JPY_B,1/5/2016 4:00,119.172,1.92988
USD/JPY_B,1/5/2016 5:00,119.046,1.990228
USD/JPY_B,1/5/2016 6:00,119.118,1.986928
USD/JPY_B,1/5/2016 7:00,118.952,2.02282
USD/JPY_B,1/5/2016 8:00,118.921,2.119088
USD/JPY_B,1/5/2016 9:00,119.144,2.118531
USD/JPY_B,1/5/2016 10:00,119.127,2.121087
USD/JPY_B,1/5/2016 11:00,119.148,2.178752
USD/JPY_B,1/5/2016 12:00,118.954,2.196045
USD/JPY_B,1/5/2016 13:00,118.989,2.272727
USD/JPY_B,1/5/2016 14:00,119.025,2.281305
USD/JPY_B,1/5/2016 15:00,118.982,2.246946
USD/JPY_B,1/5/2016 16:00,119.04,2.197615
USD/JPY_B,1/5/2016 17:00,119.056,2.178059
USD/JPY_B,1/5/2016 18:00,119.119,2.206457
USD/JPY_B,1/5/2016 19:00,119.1,2.147325
USD/JPY_B,1/5/2016 20:00,119.032,2.100888
USD/JPY_B,1/5/2016 21:00,118.566,2.131694
USD/JPY_B,1/5/2016 22:00,118.48,2.106346
USD/JPY_B,1/5/2016 23:00,118.653,2.108085
USD/JPY_B,1/6/2016 0:00,118.721,2.06005
USD/JPY_B,1/6/2016 1:00,118.754,1.985519
USD/JPY_B,1/6/2016 2:00,118.66,1.973789
USD/JPY_B,1/6/2016 3:00,118.737,1.968329
USD/JPY_B,1/6/2016 4:00,118.556,2.013688
USD/JPY_B,1/6/2016 5:00,118.482,2.014493
USD/JPY_B,1/6/2016 6:00,118.399,2.044571
USD/JPY_B,1/6/2016 7:00,118.394,2.039805
USD/JPY_B,1/6/2016 8:00,118.352,2.091354
USD/JPY_B,1/6/2016 9:00,118.718,2.155462
USD/JPY_B,1/6/2016 10:00,118.575,2.07498
USD/JPY_B,1/6/2016 11:00,118.651,2.062247
USD/JPY_B,1/6/2016 12:00,118.544,2.050684
USD/JPY_B,1/6/2016 13:00,118.609,2.043513
USD/JPY_B,1/6/2016 14:00,118.544,2.032879
USD/JPY_B,1/6/2016 15:00,118.42,2.108605
USD/JPY_B,1/6/2016 16:00,118.497,2.095199
USD/JPY_B,1/6/2016 17:00,118.462,2.077622
USD/JPY_B,1/6/2016 18:00,118.479,2.091584
USD/JPY_B,1/6/2016 19:00,118.618,2.01586
USD/JPY_B,1/6/2016 20:00,118.63,2.009441
USD/JPY_B,1/6/2016 21:00,117.896,2.115162
USD/JPY_B,1/6/2016 22:00,117.988,2.066892
USD/JPY_B,1/6/2016 23:00,118.21,2.012305
USD/JPY_B,1/7/2016 0:00,117.973,1.952191
USD/JPY_B,1/7/2016 1:00,117.954,1.916275
USD/JPY_B,1/7/2016 2:00,118.022,1.913551
USD/JPY_B,1/7/2016 3:00,118.009,1.923199
USD/JPY_B,1/7/2016 4:00,117.534,1.933702
